selection_order,year,line,delta_min,section_from_station,section_departure_time_mod120,section_departure_time_new_mod120,section_to_station,section_arrival_time_mod120,section_arrival_time_new_mod120,marginal_net_pax_minutes,marginal_gross_gain_pax_minutes,marginal_gross_loss_pax_minutes,status,reason,matched_cells,changed_cells,physical_shift_id,source_candidate_ids
1,2035,IC 61,-4,Olten,01:31,01:27,Bern,01:58,01:54,1650.351947,5357.417673,3707.065727,accepted,,2,2,2035|physical|IC 61|-4|Olten|01:31|Bern|01:58,2035|00246|shift_arrival_line_earlier|IC 61|-4|Olten|01:31|Bern|01:58; 2035|03253|shift_departure_line_earlier|IC 61|-4|Olten|01:31|Bern|01:58
1,2026,IR 75,-1,Zürich Flughafen,01:15,01:14,Zürich HB,01:26,01:25,,,,accepted,,2,2,2026|physical|IR 75|-1|Zürich Flughafen|01:15|Zürich HB|01:26,2026|01118|shift_departure_line_earlier|IR 75|-1|Zürich Flughafen|01:15|Zürich HB|01:26; 2026|10568|shift_arrival_line_earlier|IR 75|-1|Zürich Flughafen|01:15|Zürich HB|01:26
2,2035,IC 1,-2,Fribourg/Freiburg,00:36,00:34,Bern,00:56,00:54,3542.892544,5704.48881,2161.596266,accepted,,4,4,2035|physical|IC 1|-2|Fribourg/Freiburg|00:36|Bern|00:56,2035|00115|shift_arrival_line_earlier|IC 1|-2|Fribourg/Freiburg|00:36|Bern|00:56; 2035|07268|shift_departure_line_earlier|IC 1|-2|Fribourg/Freiburg|00:36|Bern|00:56
2,2035,IC 82,2,Bern,00:06,00:08,Thun,00:24,00:26,,,,accepted,,2,2,2035|physical|IC 82|2|Bern|00:06|Thun|00:24,2035|09031|shift_arrival_line_later|IC 82|2|Bern|00:06|Thun|00:24
3,2035,IC 5,-2,Neuchâtel,01:27,01:25,Biel/Bienne,01:45,01:43,,,,accepted,,2,2,2035|physical|IC 5|-2|Neuchâtel|01:27|Biel/Bienne|01:45,2035|03682|shift_departure_line_earlier|IC 5|-2|Neuchâtel|01:27|Biel/Bienne|01:45; 2035|05978|shift_arrival_line_earlier|IC 5|-2|Neuchâtel|01:27|Biel/Bienne|01:45
4,2035,IR 55,1,Zürich Flughafen,01:31,01:32,Zürich Oerlikon,01:35,01:36,,,,accepted,,2,2,2035|physical|IR 55|1|Zürich Flughafen|01:31|Zürich Oerlikon|01:35,2035|08376|shift_arrival_line_later|IR 55|1|Zürich Flughafen|01:31|Zürich Oerlikon|01:35
5,2026,G / S 14,-1,Zürich Oerlikon,01:48,01:47,Wallisellen,01:51,01:50,,,,accepted,,2,2,2026|physical|G / S 14|-1|Zürich Oerlikon|01:48|Wallisellen|01:51,2026|00918|shift_departure_line_earlier|G / S 14|-1|Zürich Oerlikon|01:48|Wallisellen|01:51
6,2035,IC 9,2,Sion,00:04,00:06,Martigny,00:16,00:18,,,,accepted,,2,2,2035|physical|IC 9|2|Sion|00:04|Martigny|00:16,2035|02249|shift_arrival_line_later|IC 9|2|Sion|00:04|Martigny|00:16
7,2035,G / S 14,1,Schlieren,01:13,01:14,Zürich Altstetten,01:17,01:18,,,,accepted,,2,2,2035|physical|G / S 14|1|Schlieren|01:13|Zürich Altstetten|01:17,2035|02144|shift_arrival_line_later|G / S 14|1|Schlieren|01:13|Zürich Altstetten|01:17
8,2035,IC 61,-2,Thun,01:37,01:35,Bern,01:56,01:54,1950.030814,2946.829457,996.798643,accepted,,2,2,2035|physical|IC 61|-2|Thun|01:37|Bern|01:56,2035|00636|shift_arrival_line_earlier|IC 61|-2|Thun|01:37|Bern|01:56
8,2035,G / S 14,1,Schlieren,01:43,01:44,Zürich Altstetten,01:47,01:48,,,,accepted,,2,2,2035|physical|G / S 14|1|Schlieren|01:43|Zürich Altstetten|01:47,2035|02145|shift_arrival_line_later|G / S 14|1|Schlieren|01:43|Zürich Altstetten|01:47
9,2035,IC 61,2,Bern,01:04,01:06,Thun,01:22,01:24,1792.212124,2659.643124,867.431,accepted,,2,2,2035|physical|IC 61|2|Bern|01:04|Thun|01:22,2035|01869|shift_departure_line_later|IC 61|2|Bern|01:04|Thun|01:22
9,2035,IR 55,1,Zürich Flughafen,00:01,00:02,Zürich Oerlikon,00:05,00:06,,,,accepted,,2,2,2035|physical|IR 55|1|Zürich Flughafen|00:01|Zürich Oerlikon|00:05,2035|08940|shift_arrival_line_later|IR 55|1|Zürich Flughafen|00:01|Zürich Oerlikon|00:05
10,2035,IC 82,-1,Zofingen,01:32,01:31,Bern,00:00,01:59,1714.833273,1832.980536,118.147263,accepted,,2,2,2035|physical|IC 82|-1|Zofingen|01:32|Bern|00:00,2035|14484|shift_arrival_line_earlier|IC 82|-1|Zofingen|01:32|Bern|00:00
10,2026,G / S 14,-1,Zürich Oerlikon,01:18,01:17,Wallisellen,01:21,01:20,,,,accepted,,2,2,2026|physical|G / S 14|-1|Zürich Oerlikon|01:18|Wallisellen|01:21,2026|01007|shift_departure_line_earlier|G / S 14|-1|Zürich Oerlikon|01:18|Wallisellen|01:21
11,2026,IC 1,2,Zürich Oerlikon,01:44,01:46,Zürich Flughafen,01:49,01:51,1416.356619,3111.14504,1694.788421,accepted,,2,2,2026|physical|IC 1|2|Zürich Oerlikon|01:44|Zürich Flughafen|01:49,2026|01314|shift_departure_line_later|IC 1|2|Zürich Oerlikon|01:44|Zürich Flughafen|01:49
11,2026,IR 35,-1,Zürich Altstetten,00:59,00:58,Olten,01:28,01:27,,,,accepted,,2,2,2026|physical|IR 35|-1|Zürich Altstetten|00:59|Olten|01:28,2026|03146|shift_departure_line_earlier|IR 35|-1|Zürich Altstetten|00:59|Olten|01:28
12,2026,S 14,-3,Aarau,01:56,01:53,Aarau Torfeld,01:57,01:54,,,,accepted,,2,2,2026|physical|S 14|-3|Aarau|01:56|Aarau Torfeld|01:57,2026|05729|shift_departure_line_earlier|S 14|-3|Aarau|01:56|Aarau Torfeld|01:57
13,2035,IC 5,1,Biel/Bienne,00:15,00:16,Neuchâtel,00:33,00:34,39.373823,522.369953,482.99613,accepted,,2,2,2035|physical|IC 5|1|Biel/Bienne|00:15|Neuchâtel|00:33,2035|04985|shift_departure_line_later|IC 5|1|Biel/Bienne|00:15|Neuchâtel|00:33
13,2026,H / S 7,3,Bassersdorf,01:08,01:11,Effretikon,01:14,01:17,,,,accepted,,2,2,2026|physical|H / S 7|3|Bassersdorf|01:08|Effretikon|01:14,2026|01106|shift_arrival_line_later|H / S 7|3|Bassersdorf|01:08|Effretikon|01:14
14,2035,S 14,1,Aarau,01:24,01:25,Binzenhof,01:25,01:26,373.533116,1007.2579,633.724784,accepted,,2,2,2035|physical|S 14|1|Aarau|01:24|Binzenhof|01:25,2035|06821|shift_departure_line_later|S 14|1|Aarau|01:24|Binzenhof|01:25
14,2026,H / S 7,3,Bassersdorf,01:38,01:41,Effretikon,01:44,01:47,,,,accepted,,2,2,2026|physical|H / S 7|3|Bassersdorf|01:38|Effretikon|01:44,2026|01107|shift_arrival_line_later|H / S 7|3|Bassersdorf|01:38|Effretikon|01:44
15,2035,S 14,1,Aarau,00:54,00:55,Binzenhof,00:55,00:56,325.577879,906.53211,580.954231,accepted,,2,2,2035|physical|S 14|1|Aarau|00:54|Binzenhof|00:55,2035|07412|shift_departure_line_later|S 14|1|Aarau|00:54|Binzenhof|00:55
15,2026,G / S 14,1,Wallisellen,01:09,01:10,Zürich Oerlikon,01:12,01:13,,,,accepted,,2,2,2026|physical|G / S 14|1|Wallisellen|01:09|Zürich Oerlikon|01:12,2026|00322|shift_arrival_line_later|G / S 14|1|Wallisellen|01:09|Zürich Oerlikon|01:12
16,2035,IC 3,-2,Sargans,01:28,01:26,Zürich HB,00:22,00:20,212.900094,504.32251,291.422417,accepted,,2,2,2035|physical|IC 3|-2|Sargans|01:28|Zürich HB|00:22,2035|07200|shift_departure_line_earlier|IC 3|-2|Sargans|01:28|Zürich HB|00:22; 2035|10894|shift_arrival_line_earlier|IC 3|-2|Sargans|01:28|Zürich HB|00:22
16,2035,S 14,2,Aarau Torfeld,00:45,00:47,Aarau,00:49,00:51,,,,accepted,,2,2,2035|physical|S 14|2|Aarau Torfeld|00:45|Aarau|00:49,2035|09531|shift_arrival_line_later|S 14|2|Aarau Torfeld|00:45|Aarau|00:49
17,2035,IC 3,-2,Sargans,01:58,01:56,Zürich HB,00:52,00:50,309.965354,504.32251,194.357157,accepted,,2,2,2035|physical|IC 3|-2|Sargans|01:58|Zürich HB|00:52,2035|07201|shift_departure_line_earlier|IC 3|-2|Sargans|01:58|Zürich HB|00:52; 2035|10895|shift_arrival_line_earlier|IC 3|-2|Sargans|01:58|Zürich HB|00:52
17,2026,P / S 9,-1,Zürich Oerlikon,01:45,01:44,Glattbrugg,01:47,01:46,,,,accepted,,2,2,2026|physical|P / S 9|-1|Zürich Oerlikon|01:45|Glattbrugg|01:47,2026|00234|shift_departure_line_earlier|P / S 9|-1|Zürich Oerlikon|01:45|Glattbrugg|01:47
18,2035,S 14,2,Aarau Torfeld,00:15,00:17,Aarau,00:19,00:21,,,,accepted,,2,2,2035|physical|S 14|2|Aarau Torfeld|00:15|Aarau|00:19,2035|09530|shift_arrival_line_later|S 14|2|Aarau Torfeld|00:15|Aarau|00:19
19,2035,P / S 9,-3,Effretikon,01:40,01:37,Illnau,01:44,01:41,,,,accepted,,2,2,2035|physical|P / S 9|-3|Effretikon|01:40|Illnau|01:44,2035|08149|shift_departure_line_earlier|P / S 9|-3|Effretikon|01:40|Illnau|01:44
20,2026,IR 13,-1,Rorschach,01:51,01:50,St. Gallen,00:04,00:03,184.666299,274.429985,89.763686,accepted,,2,2,2026|physical|IR 13|-1|Rorschach|01:51|St. Gallen|00:04,2026|11389|shift_departure_line_earlier|IR 13|-1|Rorschach|01:51|St. Gallen|00:04; 2026|15067|shift_arrival_line_earlier|IR 13|-1|Rorschach|01:51|St. Gallen|00:04
23,2026,IR 13,1,St. Gallen,00:55,00:56,Rorschach,01:08,01:09,154.204956,264.280399,110.075443,accepted,,2,2,2026|physical|IR 13|1|St. Gallen|00:55|Rorschach|01:08,2026|11733|shift_arrival_line_later|IR 13|1|St. Gallen|00:55|Rorschach|01:08; 2026|14367|shift_departure_line_later|IR 13|1|St. Gallen|00:55|Rorschach|01:08
27,2026,S 14,1,Aarau,01:24,01:25,Binzenhof,01:25,01:26,104.281055,252.55816,148.277105,accepted,,2,2,2026|physical|S 14|1|Aarau|01:24|Binzenhof|01:25,2026|11978|shift_departure_line_later|S 14|1|Aarau|01:24|Binzenhof|01:25
28,2035,IC 61,-1,Liestal,00:08,00:07,Olten,00:25,00:24,70.947647,215.197803,144.250156,accepted,,2,2,2035|physical|IC 61|-1|Liestal|00:08|Olten|00:25,2035|12114|shift_arrival_line_earlier|IC 61|-1|Liestal|00:08|Olten|00:25
29,2026,IR 75,1,Zürich HB,00:34,00:35,Zürich Flughafen,00:44,00:45,32.705516,98.116569,65.411053,accepted,,2,2,2026|physical|IR 75|1|Zürich HB|00:34|Zürich Flughafen|00:44,2026|14523|shift_departure_line_later|IR 75|1|Zürich HB|00:34|Zürich Flughafen|00:44
30,2026,S 23,2,Lenzburg,01:29,01:31,Othmarsingen,01:32,01:34,18.051568,423.7242,405.672632,accepted,,2,2,2026|physical|S 23|2|Lenzburg|01:29|Othmarsingen|01:32,2026|06705|shift_departure_line_later|S 23|2|Lenzburg|01:29|Othmarsingen|01:32
31,2026,IR 36,1,Brugg AG,01:00,01:01,Baden,01:07,01:08,2.114659,104.006659,101.892,accepted,,2,2,2026|physical|IR 36|1|Brugg AG|01:00|Baden|01:07,2026|15315|shift_departure_line_later|IR 36|1|Brugg AG|01:00|Baden|01:07
